name,logo,mitra_brand_name,location,link
Human Resource Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_eb8eb0d4-24b3-439f-8a5c-708f2e56019e.jpg,Martha Tilaar Group,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/65f46082-7c36-4885-bbb0-ad5591c80934/bc4f2de0-fe11-11ee-9648-aa9bf47860c9
Human Capital Intern														,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_2ea4668a-bafa-4e0b-a5d3-3305132a923e.png,Persatuan Sepak Bola Seluruh  Indonesia ,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e2fd7b87-be04-45f3-8cb4-cf407cb051e7/dadc5b16-02e2-11ef-829a-72f05e45eff5
HR Corporate Recruitment Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b76494ae-980d-4a68-9115-38613dc21698.png,Shipper,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/648a1e21-4b5d-4a2c-b02e-2ead74eae085/b6950579-fca2-11ee-b3c3-42bfe4d30846
HR General Affair Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b76494ae-980d-4a68-9115-38613dc21698.png,Shipper,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/648a1e21-4b5d-4a2c-b02e-2ead74eae085/8278249d-fca4-11ee-877d-ee833f3bb5c3
HR Operation Recruitment Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b76494ae-980d-4a68-9115-38613dc21698.png,Shipper,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/648a1e21-4b5d-4a2c-b02e-2ead74eae085/4da13194-fca3-11ee-b3c3-42bfe4d30846
HR Admin Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b76494ae-980d-4a68-9115-38613dc21698.png,Shipper,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/648a1e21-4b5d-4a2c-b02e-2ead74eae085/bf6ec4db-fca4-11ee-be48-1676ae1015eb
HR Training & Development Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b76494ae-980d-4a68-9115-38613dc21698.png,Shipper,Kota Jakarta Pusat,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/648a1e21-4b5d-4a2c-b02e-2ead74eae085/6951ff28-fca5-11ee-b3c3-42bfe4d30846
Human Resources Administrator,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_cfae041d-bf7f-4bc7-b22d-e655601ab06f.png,Aston Banua Banjarmasin Hotel &amp; Convention Center,Kab. Banjar,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/41e5a5af-d82d-4fd0-8cc9-c72b2c8c6cd8/5b1b9456-04a0-11ef-8394-36f764739585
HR Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_0e397af5-6284-4f00-8071-b568052fd3b1.jpg,Garudafood,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d5a597f6-f83d-4bc0-99a1-01696465bba7/9dcfbc50-0078-11ef-9733-ca7bef2c0196
Human Resources Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_7ac6931b-34e0-4449-a7a8-5cbf6aec5ee8.png,MCorp,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/028084b2-2adb-4757-a382-072513828e02/6941d6a3-03ab-11ef-8720-aa02d2b0cfce
Human Resouces Development,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a4332676-edfb-439f-89f3-79df05db6189.jpg,PT Cobra Dental Indonesia,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d5db8ad8-f617-4cd5-85dd-9c1adbc45491/e6545fbb-e9ea-11ee-9c87-8a782fec29d6
Human Resource & General Affair ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_89b54132-ead9-4373-bcb2-1990af6da78f.png,Hoshizora Foundation,Kota Yogyakarta,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e8b20fc7-5d8f-4d68-87f7-9a6abdb50e56/e7f1e7bf-fcdb-11ee-877d-ee833f3bb5c3
Magang Human Capital Services & Industrial Relations Admin Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a9d6ab6f-2035-4811-8142-93818c57b54c.jpg,ANTAM Tbk.,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/dec21a6a-3144-4109-a05a-8e1d36aacd34/85c27743-0364-11ef-98a1-c2fa75b94ea6
Magang Human Capital Business Partner,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_a9d6ab6f-2035-4811-8142-93818c57b54c.jpg,ANTAM Tbk.,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/dec21a6a-3144-4109-a05a-8e1d36aacd34/8ed6dc63-0366-11ef-bf90-e68f32e062f5
