name,logo,mitra_brand_name,location,link
FIF - CRM Data Mining Support,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/b301064a-fd3a-11ee-8a41-f67d68bd6616
TSO - Outlet Data Banking Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/78834ebc-fb9c-11ee-8418-a2b4dbc792e0
UDAMI – Process and System Analyst Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/e28b8780-fb26-11ee-82ee-42fdda477ac9
ADM – Digitalization Database Record / Operational Bank Data,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kab. Karawang,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/0f04a8d0-f318-11ee-af0a-42786e9b30fb
AHM – Software Engineer,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/f613fac8-f972-11ee-8418-a2b4dbc792e0
IAMI - Network and Partnership Management,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/49c3061b-f43c-11ee-af0a-42786e9b30fb
ADMO - Data Engineer Intern,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Jakarta Selatan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/a9e539f9-f348-11ee-af0a-42786e9b30fb
MODA – IT Governance & Security Intern ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Timur,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/66fb88b0-f32e-11ee-af0a-42786e9b30fb
TSO - System Development & Configuration Analyst,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/28c0f2c0-fba3-11ee-8418-a2b4dbc792e0
SERA – Network Engineer ,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_45049c10-98bb-4d13-8db9-95d3b94de80d.png,Astra,Kota Jakarta Utara,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/904f2e08-fd71-11ee-9648-aa9bf47860c9
